player_id,name,team,role,role_P,role_D,role_C,role_A,fvm,qta,ovr,prezzo_cons,titolarita_pct,titolarita,fragility_score,partite_saltate_tot,giorni_stop_tot,disponibilita_pct,recidive_muscolari,is_injured_initial,is_rigorista,is_oop,presenze_2526,mv_2526,fm_2526,xg90_2526,xa90_2526,rating_2526,presenze_2627,starts_2627,minuti_2627,gol_2627,assist_2627,tot_bonus_2627,tot_malus_2627,mv_2627,fm_2627,xg90_2627,xa90_2627,roi_fm_su_prezzo,target_fanta_media,target_gol,target_assist,target_minuti,target_roi_fvm
5585,Malen,Roma,A,0,0,0,1,450.0,38.0,98.0,638.0,100.0,100.0,13.0,2,11,97.4,0,0,1,0,18,6.72,8.97,0.57,0.05,6.5,5,5,359,6,0,18.0,0.5,7.1,10.6,1.2,0.07,0.0166,10.6,6,0,359,0.0166
2764,Martinez L.,Inter,A,0,0,0,1,361.0,33.0,98.0,528.0,80.0,80.0,75.0,22,124,71.1,6,0,1,0,30,6.42,8.25,0.56,0.11,7.47,4,4,348,4,0,12.0,1.0,6.75,9.5,1.32,0.06,0.018,9.5,4,0,348,0.018
6052,Hojlund,Napoli,A,0,0,0,1,260.0,28.0,98.0,475.0,100.0,100.0,18.5,3,20,92.1,0,0,1,0,33,6.21,7.44,0.35,0.09,6.83,5,5,378,2,0,6.0,0.0,6.1,7.3,0.19,0.01,0.0154,7.3,2,0,378,0.0154
6397,Ramos G.,Milan,A,0,0,0,1,237.0,27.0,98.0,389.0,100.0,100.0,50.0,20,99,73.7,0,0,1,0,0,6.0,6.0,0.62,0.1,6.7,5,5,474,1,1,4.0,0.0,6.1,6.9,0.31,0.07,0.0177,6.9,1,1,474,0.0177
4871,Thuram,Inter,A,0,0,0,1,249.0,28.0,95.0,277.0,54.0,54.0,75.0,18,93,76.3,3,0,0,0,29,6.43,7.95,0.44,0.12,7.28,4,2,248,2,2,8.0,0.0,6.62,8.62,0.93,0.08,0.0311,8.62,2,2,248,0.0311
5951,Kolo Muani,Juventus,A,0,0,0,1,165.0,25.0,93.0,272.0,100.0,100.0,45.0,10,63,86.8,0,0,1,0,0,6.0,6.0,0.12,0.1,6.3,5,5,489,0,1,1.0,0.0,5.5,5.7,0.41,0.04,0.021,5.7,0,1,489,0.021
2097,Kean,Como,A,0,0,0,1,183.0,24.0,93.0,263.0,34.0,34.0,62.0,28,184,63.2,1,0,1,0,26,5.88,6.77,0.66,0.01,6.79,3,1,145,0,1,1.0,0.0,6.0,6.25,0.46,0.1,0.0238,6.25,0,1,145,0.0238
7017,Douvikas,Como,A,0,0,0,1,185.0,22.0,92.0,221.0,87.0,87.0,9.0,1,10,98.7,0,0,0,0,38,6.17,7.3,0.48,0.06,6.82,5,4,349,2,0,6.0,0.0,6.2,7.4,0.55,0.05,0.0335,7.4,2,0,349,0.0335
309,Dybala,Roma,A,0,0,0,1,100.0,16.0,90.0,111.0,100.0,100.0,75.0,26,266,65.8,4,0,1,0,22,6.25,6.7,0.32,0.34,7.09,5,5,428,0,4,4.0,0.0,7.1,7.9,0.35,0.74,0.0712,7.9,0,4,428,0.0712
531,Berardi,Sassuolo,A,0,0,0,1,106.0,19.0,88.0,123.0,54.0,54.0,50.0,12,109,84.2,0,0,1,0,26,6.31,7.19,0.27,0.15,7.13,4,2,232,1,0,3.0,0.0,6.12,6.88,0.38,0.09,0.0559,6.88,1,0,232,0.0559
6752,Woltemade,Juventus,A,0,0,0,1,160.0,23.0,87.0,162.0,21.0,21.0,13.0,2,10,97.4,0,0,0,0,0,6.0,6.0,0.0,0.0,6.5,3,0,64,0,0,0.0,0.0,5.83,5.83,,,0.036,5.83,0,0,64,0.036
5637,Davis K.,Udinese,A,0,0,0,1,108.0,19.0,86.0,131.0,80.0,80.0,75.0,22,160,71.1,3,0,1,0,30,6.32,7.37,0.44,0.1,6.96,4,4,271,0,2,2.0,0.5,6.38,6.75,0.15,0.15,0.0515,6.75,0,2,271,0.0515
7071,Esposito F.P.,Inter,A,0,0,0,1,105.0,17.0,85.0,104.0,87.0,87.0,17.0,3,36,96.1,0,0,0,0,35,6.23,6.9,0.43,0.08,6.78,5,4,312,2,1,7.0,0.0,6.6,8.0,0.67,0.08,0.0769,8.0,2,1,312,0.0769
